raan                      ta                        type                      rmag                      dv                   
0                         0                         1                         0                         0.8548645019531249        
0                         10                        1                         0                         0.8435302734375001        
0                         20                        1                         0                         0.8326446533203126        
0                         30                        1                         0                         0.8224090576171874        
0                         40                        1                         0                         0.81309814453125          
0                         50                        1                         0                         0.8048034667968749        
0                         60                        1                         0                         0.7975433349609374        
0                         70                        1                         0                         0.7913269042968749        
0                         80                        1                         0                         0.7861816406250001        
0                         90                        1                         0                         0.7821166992187499        
0                         100                       1                         0                         0.7791687011718751        
0                         110                       1                         0                         0.7773559570312499        
0                         120                       1                         0                         0.7766876220703125        
0                         130                       1                         0                         0.7771820068359373        
0                         140                       1                         0                         0.7788116455078125        
0                         150                       1                         0                         0.7815673828124998        
0                         160                       1                         0                         0.785430908203125         
0                         170                       1                         0                         0.7903472900390626        
0                         180                       1                         0                         0.7962707519531249        
0                         190                       1                         0                         0.8031555175781249        
0                         200                       1                         0                         0.8109283447265624        
0                         210                       1                         0                         0.8195251464843749        
0                         220                       1                         0                         0.8288818359374999        
0                         230                       1                         0                         0.838970947265625         
0                         240                       1                         0                         0.8497375488281249        
0                         250                       1                         0                         0.8609161376953126        
0                         260                       1                         0                         0.8718200683593751        
0                         270                       1                         0                         0.8823577880859376        
0                         280                       0                         0                         0                         
0                         290                       0                         0                         0                         
0                         300                       0                         0                         0                         
0                         310                       0                         0                         0                         
0                         320                       0                         0                         0                         
0                         330                       0                         0                         0                         
0                         340                       1                         0                         0.890899658203125         
0                         350                       1                         0                         0.867041015625            
0                         360                       1                         0                         0.8548645019531249        
10                        0                         1                         0                         0.8089691162109375        
10                        10                        1                         0                         0.8054168701171873        
10                        20                        1                         0                         0.8022583007812499        
10                        30                        1                         0                         0.7999053955078125        
10                        40                        1                         0                         0.7989990234375           
10                        50                        1                         0                         0.8000335693359374        
10                        60                        1                         0                         0.803302001953125         
10                        70                        1                         0                         0.8089050292968749        
10                        80                        1                         0                         0.8167327880859373        
10                        90                        1                         0                         0.8263824462890624        
10                        100                       1                         0                         0.8370758056640625        
10                        110                       1                         0                         0.8477508544921875        
10                        120                       1                         0                         0.85718994140625          
10                        130                       1                         0                         0.86436767578125          
10                        140                       1                         0                         0.8686798095703125        
10                        150                       1                         0                         0.8700897216796876        
